edge_id,from,to,interaction_type,country,theme,source,effect,direct_or_indirect,bidirectional,interaction_summary,policy_tension,policy_strategic_objective_1,policy_strategic_objective_2,policy_specific_actions_1,policy_specific_actions_2,reference
P233,sdg11,sdg13,SDG-SDG,Zambia,"Economy, Poverty & Equity",Objective,Align,Direct,TRUE,"Both policies seek to reduce the impacts of external shocks on vulnerable communities--SDG-11 by strengthening disaster risk reduction, early warning and response, and SDG-13 by building climate change adaptation and resilience.",Emergency response versus stewardship controls,"REDUCED POVERTY, VULNERABILITY AND INEQUALITIES: Enhance disaster risk reduction and response",ENHANCED MITIGATION AND ADAPTATION TO CLIMATE CHANGE,"To enhance disaster risk management, the Government will strengthen disaster risk reduction, enhance early warning systems for early action and disaster preparedness for effective response to build back better in recovery, rehabilitation and reconstruction. Further, the Government will undertake disaster risk assessments, establish emergency operation centres, community-based disaster risk management programmes and post-disaster recovery activities for resilience building. ","Strategy 1: Strengthen climate change adaptation 
Implementing adaptation measures will contribute to building the resilience of communities and the economy to the impacts of climate change. During the 8NDP period, therefore, the Government will enhance the human and institutional capacities for undertaking and supporting more ambitious climate change actions. Further, improved production and consumption practices and nature-based solutions will be promoted among communities to enhance climate change adaptation.",SDGs: Eight National Development Plan 2022-2026
P234,sdg11,sdg13,SDG-SDG,Zambia,"Economy, Poverty & Equity",Implementation,Align,Indirect,TRUE,"The institutional and community capacities, early warning systems and recovery frameworks established under SDG-11 provide platforms and governance structures that facilitate the rollout of climate adaptation measures under SDG-13.",Emergency response versus stewardship controls,"REDUCED POVERTY, VULNERABILITY AND INEQUALITIES: Enhance disaster risk reduction and response",ENHANCED MITIGATION AND ADAPTATION TO CLIMATE CHANGE,"To enhance disaster risk management, the Government will strengthen disaster risk reduction, enhance early warning systems for early action and disaster preparedness for effective response to build back better in recovery, rehabilitation and reconstruction. Further, the Government will undertake disaster risk assessments, establish emergency operation centres, community-based disaster risk management programmes and post-disaster recovery activities for resilience building. ","Strategy 1: Strengthen climate change adaptation 
Implementing adaptation measures will contribute to building the resilience of communities and the economy to the impacts of climate change. During the 8NDP period, therefore, the Government will enhance the human and institutional capacities for undertaking and supporting more ambitious climate change actions. Further, improved production and consumption practices and nature-based solutions will be promoted among communities to enhance climate change adaptation.",SDGs: Eight National Development Plan 2022-2026
P235,sdg01,sdg04,SDG-SDG,Zambia,"Economy, Poverty & Equity",Objective,Align,Direct,TRUE,"Both policies seek to strengthen human capital by improving education, skills development and socio-economic empowerment of vulnerable groups.",Equity in access versus regulatory enforcement,"ENHANCED CITIZENRY PARTICIPATION IN THE ECONOMY
Promote Financial Inclusion
To reduce poverty, vulnerability and inequalities, the Government will focus on improving coordination of social protection programmes; ",IMPROVED EDUCATION AND SKILLS DEVELOPMENT,"The Government will continue to implement programmes aimed at improving welfare and livelihoods of people, especially the poor and vulnerable, such as the aged and people with disabilities. The number of beneficiaries and support offered to interventions such as the social cash transfer (SCT), food security pack and the keeping girls in school programme will be scaled-up. This will allow SCT beneficiaries to access programmes such as the food security pack, livelihood schemes and human capital investments (nutrition, early childhood development, primary and secondary education and skills development). This will contribute to breaking the intergenerational cycle of poverty. The targeting and payment systems for the social cash transfer will also be strengthened. Resettlement schemes will be used as a means of facilitating sustained empowerment of the poor and vulnerable people such as the unemployed, retired, internally displaced and persons with disability. To address income inequalities, livelihood and empowerment programmes will be enhanced in order to positively impact on incomes,"," Enhance access to quality, equitable and inclusive education
Improve technical, vocational and entrepreneurship skills
Increase access to higher education
 Enhance science, technology and innovation",SDGs: Eight National Development Plan 2022-2026
P236,sdg01,sdg04,SDG-SDG,Zambia,"Economy, Poverty & Equity",Implementation,Align,Indirect,TRUE,"Social protection programmes (cash transfers, livelihood schemes, school-keeping grants) boost uptake and success of education and skills initiatives by alleviating financial barriers to attendance and participation.",Equity in access versus regulatory enforcement,"ENHANCED CITIZENRY PARTICIPATION IN THE ECONOMY
Promote Financial Inclusion
To reduce poverty, vulnerability and inequalities, the Government will focus on improving coordination of social protection programmes; ",IMPROVED EDUCATION AND SKILLS DEVELOPMENT,"The Government will continue to implement programmes aimed at improving welfare and livelihoods of people, especially the poor and vulnerable, such as the aged and people with disabilities. The number of beneficiaries and support offered to interventions such as the social cash transfer (SCT), food security pack and the keeping girls in school programme will be scaled-up. This will allow SCT beneficiaries to access programmes such as the food security pack, livelihood schemes and human capital investments (nutrition, early childhood development, primary and secondary education and skills development). This will contribute to breaking the intergenerational cycle of poverty. The targeting and payment systems for the social cash transfer will also be strengthened. Resettlement schemes will be used as a means of facilitating sustained empowerment of the poor and vulnerable people such as the unemployed, retired, internally displaced and persons with disability. To address income inequalities, livelihood and empowerment programmes will be enhanced in order to positively impact on incomes,"," Enhance access to quality, equitable and inclusive education
Improve technical, vocational and entrepreneurship skills
Increase access to higher education
 Enhance science, technology and innovation",SDGs: Eight National Development Plan 2022-2026
P237,sdg01,sdg08,SDG-SDG,Zambia,"Economy, Poverty & Equity",Objective,Align,Direct,TRUE,"Both policies are designed to enhance citizen participation in the economy and address key socio-demographic drivers of AMR--namely poverty, vulnerability, and inequality.",Equity in access versus regulatory enforcement,"ENHANCED CITIZENRY PARTICIPATION IN THE ECONOMY
Promote Financial Inclusion
To reduce poverty, vulnerability and inequalities, the Government will focus on improving coordination of social protection programmes; ","ECONOMIC TRANSFORMATION AND JOB CREATION
ENHANCED CITIZENRY PARTICIPATION IN THE ECONOMY
Promote enterprise development ","The Government will continue to implement programmes aimed at improving welfare and livelihoods of people, especially the poor and vulnerable, such as the aged and people with disabilities. The number of beneficiaries and support offered to interventions such as the social cash transfer (SCT), food security pack and the keeping girls in school programme will be scaled-up. This will allow SCT beneficiaries to access programmes such as the food security pack, livelihood schemes and human capital investments (nutrition, early childhood development, primary and secondary education and skills development). This will contribute to breaking the intergenerational cycle of poverty. The targeting and payment systems for the social cash transfer will also be strengthened. Resettlement schemes will be used as a means of facilitating sustained empowerment of the poor and vulnerable people such as the unemployed, retired, internally displaced and persons with disability. To address income inequalities, livelihood and empowerment programmes will be enhanced in order to positively impact on incomes,","encouraging local investments by reserving particular businesses for Zambians, improving access to low-cost finance, targeting citizens for preferential procurements and formalising the informal sector.
Enterprise development is key for economic transformation and job creation. The Government will provide an enabling environment for formation of businesses and cooperatives, facilitation of mentorship and business services and promotion of access to domestic and external markets. Special focus will be given for the provision of access to finance for micro, small and medium enterprises and cooperatives",SDGs: Eight National Development Plan 2022-2026
P238,sdg01,sdg08,SDG-SDG,Zambia,"Economy, Poverty & Equity",Implementation,Align,Direct,TRUE,"SDG-01's social protection programmes (cash transfers, food security packs, livelihood schemes, and human capital investments) strengthen the capacity and resilience of individuals, who are then better positioned to take advantage of SDG-08's enterprise development measures (access to finance, formalisation, mentorship and market access).",Equity in access versus regulatory enforcement,"ENHANCED CITIZENRY PARTICIPATION IN THE ECONOMY
Promote Financial Inclusion
To reduce poverty, vulnerability and inequalities, the Government will focus on improving coordination of social protection programmes; ","ECONOMIC TRANSFORMATION AND JOB CREATION
ENHANCED CITIZENRY PARTICIPATION IN THE ECONOMY
Promote enterprise development ","The Government will continue to implement programmes aimed at improving welfare and livelihoods of people, especially the poor and vulnerable, such as the aged and people with disabilities. The number of beneficiaries and support offered to interventions such as the social cash transfer (SCT), food security pack and the keeping girls in school programme will be scaled-up. This will allow SCT beneficiaries to access programmes such as the food security pack, livelihood schemes and human capital investments (nutrition, early childhood development, primary and secondary education and skills development). This will contribute to breaking the intergenerational cycle of poverty. The targeting and payment systems for the social cash transfer will also be strengthened. Resettlement schemes will be used as a means of facilitating sustained empowerment of the poor and vulnerable people such as the unemployed, retired, internally displaced and persons with disability. To address income inequalities, livelihood and empowerment programmes will be enhanced in order to positively impact on incomes,","encouraging local investments by reserving particular businesses for Zambians, improving access to low-cost finance, targeting citizens for preferential procurements and formalising the informal sector.
Enterprise development is key for economic transformation and job creation. The Government will provide an enabling environment for formation of businesses and cooperatives, facilitation of mentorship and business services and promotion of access to domestic and external markets. Special focus will be given for the provision of access to finance for micro, small and medium enterprises and cooperatives",SDGs: Eight National Development Plan 2022-2026
P239,sdg01,sdg10,SDG-SDG,Zambia,"Economy, Poverty & Equity",Objective,Align,Direct,TRUE,"Both policies share the strategic priority of reducing poverty, vulnerability and inequalities to improve socio-demographic conditions that drive AMR.",Equity in access versus regulatory enforcement,"ENHANCED CITIZENRY PARTICIPATION IN THE ECONOMY
Promote Financial Inclusion
To reduce poverty, vulnerability and inequalities, the Government will focus on improving coordination of social protection programmes; ","REDUCED POVERTY, VULNERABILITY AND INEQUALITIES","The Government will continue to implement programmes aimed at improving welfare and livelihoods of people, especially the poor and vulnerable, such as the aged and people with disabilities. The number of beneficiaries and support offered to interventions such as the social cash transfer (SCT), food security pack and the keeping girls in school programme will be scaled-up. This will allow SCT beneficiaries to access programmes such as the food security pack, livelihood schemes and human capital investments (nutrition, early childhood development, primary and secondary education and skills development). This will contribute to breaking the intergenerational cycle of poverty. The targeting and payment systems for the social cash transfer will also be strengthened. Resettlement schemes will be used as a means of facilitating sustained empowerment of the poor and vulnerable people such as the unemployed, retired, internally displaced and persons with disability. To address income inequalities, livelihood and empowerment programmes will be enhanced in order to positively impact on incomes,"," Reduce developmental inequalities 
In an effort to reduce developmental disparities, the Government will implement interventions to address gender, income and spatial inequalities. Interventions to promote gender equality will address issues related to the participation of women in decision-making positions at all levels of governance and sustaining and improving gender parity in education. To address income inequalities, livelihood and empowerment programmes will be enhanced in order to positively impact on incomes, while infrastructure development will be undertaken in different sectors to address rural-urban disparities. This will include accelerating programmes on rural electrification, rural access roads and enhancing access to other basic services. Other measures that will be implemented in the Plan such as decentralisation and enforcement of the rule of law will also contribute to reducing developmental inequalities.",SDGs: Eight National Development Plan 2022-2026
P240,sdg01,sdg10,SDG-SDG,Zambia,"Economy, Poverty & Equity",Implementation,Align,Direct,TRUE,"The scaling-up of social cash transfers, food security packs and livelihood schemes under SDG-01 creates stronger community structures and payment systems that facilitate rollout of the income, empowerment and decentralization interventions in SDG-10, while SDG-10's investments in infrastructure, rural access roads, decentralization and gender parity in governance enhance the reach, targeting and administrative capacity needed to deliver social protection programmes effectively.",Equity in access versus regulatory enforcement,"ENHANCED CITIZENRY PARTICIPATION IN THE ECONOMY
Promote Financial Inclusion
To reduce poverty, vulnerability and inequalities, the Government will focus on improving coordination of social protection programmes; ","REDUCED POVERTY, VULNERABILITY AND INEQUALITIES","The Government will continue to implement programmes aimed at improving welfare and livelihoods of people, especially the poor and vulnerable, such as the aged and people with disabilities. The number of beneficiaries and support offered to interventions such as the social cash transfer (SCT), food security pack and the keeping girls in school programme will be scaled-up. This will allow SCT beneficiaries to access programmes such as the food security pack, livelihood schemes and human capital investments (nutrition, early childhood development, primary and secondary education and skills development). This will contribute to breaking the intergenerational cycle of poverty. The targeting and payment systems for the social cash transfer will also be strengthened. Resettlement schemes will be used as a means of facilitating sustained empowerment of the poor and vulnerable people such as the unemployed, retired, internally displaced and persons with disability. To address income inequalities, livelihood and empowerment programmes will be enhanced in order to positively impact on incomes,"," Reduce developmental inequalities 
In an effort to reduce developmental disparities, the Government will implement interventions to address gender, income and spatial inequalities. Interventions to promote gender equality will address issues related to the participation of women in decision-making positions at all levels of governance and sustaining and improving gender parity in education. To address income inequalities, livelihood and empowerment programmes will be enhanced in order to positively impact on incomes, while infrastructure development will be undertaken in different sectors to address rural-urban disparities. This will include accelerating programmes on rural electrification, rural access roads and enhancing access to other basic services. Other measures that will be implemented in the Plan such as decentralisation and enforcement of the rule of law will also contribute to reducing developmental inequalities.",SDGs: Eight National Development Plan 2022-2026
P241,sdg04,sdg08,SDG-SDG,Zambia,"Economy, Poverty & Equity",Objective,Align,Direct,TRUE,Both SDG-04 and SDG-08 target individual socio-demographic determinants of AMR by improving human capital and economic status.,Equity in access versus regulatory enforcement,IMPROVED EDUCATION AND SKILLS DEVELOPMENT,"ECONOMIC TRANSFORMATION AND JOB CREATION
ENHANCED CITIZENRY PARTICIPATION IN THE ECONOMY
Promote enterprise development "," Enhance access to quality, equitable and inclusive education
Improve technical, vocational and entrepreneurship skills
Increase access to higher education
 Enhance science, technology and innovation","encouraging local investments by reserving particular businesses for Zambians, improving access to low-cost finance, targeting citizens for preferential procurements and formalising the informal sector.
Enterprise development is key for economic transformation and job creation. The Government will provide an enabling environment for formation of businesses and cooperatives, facilitation of mentorship and business services and promotion of access to domestic and external markets. Special focus will be given for the provision of access to finance for micro, small and medium enterprises and cooperatives",SDGs: Eight National Development Plan 2022-2026
P242,sdg04,sdg08,SDG-SDG,Zambia,"Economy, Poverty & Equity",Implementation,Align,Direct,FALSE,"Improved education and skills development (SDG-04) produces a more capable workforce and entrepreneurs, thereby making it easier to implement enterprise development and job creation measures under SDG-08.",Equity in access versus regulatory enforcement,IMPROVED EDUCATION AND SKILLS DEVELOPMENT,"ECONOMIC TRANSFORMATION AND JOB CREATION
ENHANCED CITIZENRY PARTICIPATION IN THE ECONOMY
Promote enterprise development "," Enhance access to quality, equitable and inclusive education
Improve technical, vocational and entrepreneurship skills
Increase access to higher education
 Enhance science, technology and innovation","encouraging local investments by reserving particular businesses for Zambians, improving access to low-cost finance, targeting citizens for preferential procurements and formalising the informal sector.
Enterprise development is key for economic transformation and job creation. The Government will provide an enabling environment for formation of businesses and cooperatives, facilitation of mentorship and business services and promotion of access to domestic and external markets. Special focus will be given for the provision of access to finance for micro, small and medium enterprises and cooperatives",SDGs: Eight National Development Plan 2022-2026
P243,sdg04,sdg10,SDG-SDG,Zambia,"Economy, Poverty & Equity",Objective,Align,Direct,TRUE,"Both policies target improvement of individual socio-demographic factors--Policy 1 by expanding access to quality, inclusive education and skill development, and Policy 2 by reducing gender, income and spatial inequalities (including sustaining gender parity in education).",Equity in access versus regulatory enforcement,IMPROVED EDUCATION AND SKILLS DEVELOPMENT,"REDUCED POVERTY, VULNERABILITY AND INEQUALITIES"," Enhance access to quality, equitable and inclusive education
Improve technical, vocational and entrepreneurship skills
Increase access to higher education
 Enhance science, technology and innovation"," Reduce developmental inequalities 
In an effort to reduce developmental disparities, the Government will implement interventions to address gender, income and spatial inequalities. Interventions to promote gender equality will address issues related to the participation of women in decision-making positions at all levels of governance and sustaining and improving gender parity in education. To address income inequalities, livelihood and empowerment programmes will be enhanced in order to positively impact on incomes, while infrastructure development will be undertaken in different sectors to address rural-urban disparities. This will include accelerating programmes on rural electrification, rural access roads and enhancing access to other basic services. Other measures that will be implemented in the Plan such as decentralisation and enforcement of the rule of law will also contribute to reducing developmental inequalities.",SDGs: Eight National Development Plan 2022-2026
P244,sdg04,sdg10,SDG-SDG,Zambia,"Economy, Poverty & Equity",Implementation,Align,Direct,TRUE,"Policy 1's efforts to enhance educational access, technical and higher-education opportunities directly support Policy 2's goal of sustaining gender parity and broader social equality in education, while Policy 2's interventions to reduce income and spatial disparities (through livelihoods programmes, infrastructure and basic services) facilitate broader uptake of educational opportunities under Policy 1.",Equity in access versus regulatory enforcement,IMPROVED EDUCATION AND SKILLS DEVELOPMENT,"REDUCED POVERTY, VULNERABILITY AND INEQUALITIES"," Enhance access to quality, equitable and inclusive education
Improve technical, vocational and entrepreneurship skills
Increase access to higher education
 Enhance science, technology and innovation"," Reduce developmental inequalities 
In an effort to reduce developmental disparities, the Government will implement interventions to address gender, income and spatial inequalities. Interventions to promote gender equality will address issues related to the participation of women in decision-making positions at all levels of governance and sustaining and improving gender parity in education. To address income inequalities, livelihood and empowerment programmes will be enhanced in order to positively impact on incomes, while infrastructure development will be undertaken in different sectors to address rural-urban disparities. This will include accelerating programmes on rural electrification, rural access roads and enhancing access to other basic services. Other measures that will be implemented in the Plan such as decentralisation and enforcement of the rule of law will also contribute to reducing developmental inequalities.",SDGs: Eight National Development Plan 2022-2026
P245,sdg08,sdg10,SDG-SDG,Zambia,"Economy, Poverty & Equity",Objective,Align,Direct,TRUE,"Both SDG-08 (economic transformation, job creation, enhanced citizen participation) and SDG-10 (reduced poverty, vulnerability, and inequalities) seek to improve individual socio-demographic determinants such as income, employment opportunities, and social inclusion.",Equity in access versus regulatory enforcement,"ECONOMIC TRANSFORMATION AND JOB CREATION
ENHANCED CITIZENRY PARTICIPATION IN THE ECONOMY
Promote enterprise development ","REDUCED POVERTY, VULNERABILITY AND INEQUALITIES","encouraging local investments by reserving particular businesses for Zambians, improving access to low-cost finance, targeting citizens for preferential procurements and formalising the informal sector.
Enterprise development is key for economic transformation and job creation. The Government will provide an enabling environment for formation of businesses and cooperatives, facilitation of mentorship and business services and promotion of access to domestic and external markets. Special focus will be given for the provision of access to finance for micro, small and medium enterprises and cooperatives"," Reduce developmental inequalities 
In an effort to reduce developmental disparities, the Government will implement interventions to address gender, income and spatial inequalities. Interventions to promote gender equality will address issues related to the participation of women in decision-making positions at all levels of governance and sustaining and improving gender parity in education. To address income inequalities, livelihood and empowerment programmes will be enhanced in order to positively impact on incomes, while infrastructure development will be undertaken in different sectors to address rural-urban disparities. This will include accelerating programmes on rural electrification, rural access roads and enhancing access to other basic services. Other measures that will be implemented in the Plan such as decentralisation and enforcement of the rule of law will also contribute to reducing developmental inequalities.",SDGs: Eight National Development Plan 2022-2026
P246,sdg08,sdg10,SDG-SDG,Zambia,"Economy, Poverty & Equity",Implementation,Align,Indirect,TRUE,"The implementation of SDG-10 (infrastructure expansion, rural electrification, roads, basic services, empowerment and livelihood programs, gender equality measures) creates an enabling environment--better connectivity, services, and social inclusion--that facilitates enterprise development, formalization of businesses, and access to finance under SDG-08.",Equity in access versus regulatory enforcement,"ECONOMIC TRANSFORMATION AND JOB CREATION
ENHANCED CITIZENRY PARTICIPATION IN THE ECONOMY
Promote enterprise development ","REDUCED POVERTY, VULNERABILITY AND INEQUALITIES","encouraging local investments by reserving particular businesses for Zambians, improving access to low-cost finance, targeting citizens for preferential procurements and formalising the informal sector.
Enterprise development is key for economic transformation and job creation. The Government will provide an enabling environment for formation of businesses and cooperatives, facilitation of mentorship and business services and promotion of access to domestic and external markets. Special focus will be given for the provision of access to finance for micro, small and medium enterprises and cooperatives"," Reduce developmental inequalities 
In an effort to reduce developmental disparities, the Government will implement interventions to address gender, income and spatial inequalities. Interventions to promote gender equality will address issues related to the participation of women in decision-making positions at all levels of governance and sustaining and improving gender parity in education. To address income inequalities, livelihood and empowerment programmes will be enhanced in order to positively impact on incomes, while infrastructure development will be undertaken in different sectors to address rural-urban disparities. This will include accelerating programmes on rural electrification, rural access roads and enhancing access to other basic services. Other measures that will be implemented in the Plan such as decentralisation and enforcement of the rule of law will also contribute to reducing developmental inequalities.",SDGs: Eight National Development Plan 2022-2026
P247,amr03,sdg01,AMR-SDG,Zambia,Human health & Care Systems,Objective,Align,Direct,TRUE,"Both policies aim to reduce human infections: AMR-03 targets infection prevention through sanitation, hygiene, IPC and biosecurity, while SDG-01 reduces HIV vulnerability and achieves viral suppression to lower immunosuppression and related opportunistic/resistant infections.",Prevention standards versus treatment demand,"To reduce the incidence of infection through effective sanitation, hygiene and infection prevention measures, and biosecurity. 
Establish a national coordinating structure for sanitary and phytosanitary measures; infection prevention and control, and biosecurity ","REDUCED POVERTY, VULNERABILITY AND INEQUALITIES . Reduce vulnerability associated with HIV and AIDS","3.1.1. Conduct situation analysis of sanitary and phytosanitary measures, infection prevention and control, and biosecurity 3.1.2. Develop/revise national guidelines and protocols as identified through the situation analysis 3.1.3. Advocate for the implementation of the national sanitation, infection prevention and control, hygiene, biosafety, and phytosanitary guidelines ","The Government’s strategy in the 8NDP period will be to reduce the national HIV and AIDS incidence and prevalence. During this period, the Government will endeavour to implement programmes that will accelerate HIV testing and treatment to ensure viral load suppression, eliminate stigma and discrimination and increase domestic investments and resource mobilisation towards HIV and AIDS.  This commitment aims at achieving the 95-95-95 treatment targets by 2026. The 95-95-95 targets refer to 95 percent of people living with HIV know their HIV status, 95 percent of people tested positive for HIV get access to treatment services and 95 percent of people on antiretroviral treatment achieve HIV viral load suppression.",AMR: Multi-sectoral National Action Plan on Antimicrobial Resistance (2007-2027); SDGs: Eight National Development Plan 2022-2026
P248,amr03,sdg01,AMR-SDG,Zambia,Human health & Care Systems,Implementation,Align,Indirect,TRUE,"Scaling up HIV testing, treatment and resource mobilization under SDG-01 strengthens health system capacity, laboratories, workforce and community outreach that can be leveraged for sanitation, IPC and biosecurity under AMR-03.",Prevention standards versus treatment demand,"To reduce the incidence of infection through effective sanitation, hygiene and infection prevention measures, and biosecurity. 
Establish a national coordinating structure for sanitary and phytosanitary measures; infection prevention and control, and biosecurity ","REDUCED POVERTY, VULNERABILITY AND INEQUALITIES . Reduce vulnerability associated with HIV and AIDS","3.1.1. Conduct situation analysis of sanitary and phytosanitary measures, infection prevention and control, and biosecurity 3.1.2. Develop/revise national guidelines and protocols as identified through the situation analysis 3.1.3. Advocate for the implementation of the national sanitation, infection prevention and control, hygiene, biosafety, and phytosanitary guidelines ","The Government’s strategy in the 8NDP period will be to reduce the national HIV and AIDS incidence and prevalence. During this period, the Government will endeavour to implement programmes that will accelerate HIV testing and treatment to ensure viral load suppression, eliminate stigma and discrimination and increase domestic investments and resource mobilisation towards HIV and AIDS.  This commitment aims at achieving the 95-95-95 treatment targets by 2026. The 95-95-95 targets refer to 95 percent of people living with HIV know their HIV status, 95 percent of people tested positive for HIV get access to treatment services and 95 percent of people on antiretroviral treatment achieve HIV viral load suppression.",AMR: Multi-sectoral National Action Plan on Antimicrobial Resistance (2007-2027); SDGs: Eight National Development Plan 2022-2026
P249,amr03,sdg03,AMR-SDG,Zambia,Human health & Care Systems,Objective,Align,Direct,TRUE,"Both policies aim to strengthen infection prevention and control and overall public health capacity, thereby reducing the incidence and transmission of infections, including those caused by antimicrobial-resistant bacteria.",Prevention standards versus treatment demand,"To reduce the incidence of infection through effective sanitation, hygiene and infection prevention measures, and biosecurity. 
Establish a national coordinating structure for sanitary and phytosanitary measures; infection prevention and control, and biosecurity ","IMPROVED HEALTH, FOOD AND NUTRITION: Strengthen public health 
Reduce vulnerability associated with HIV and AIDS","3.1.1. Conduct situation analysis of sanitary and phytosanitary measures, infection prevention and control, and biosecurity 3.1.2. Develop/revise national guidelines and protocols as identified through the situation analysis 3.1.3. Advocate for the implementation of the national sanitation, infection prevention and control, hygiene, biosafety, and phytosanitary guidelines ","This will strengthen public health for the prevention and control of infectious diseases such as malaria, tuberculosis and HIV and AIDS as well as non-communicable diseases, mental health care, epidemic preparedness and control as well as health security and surveillance.
reduce the national HIV and AIDS incidence and prevalence. During this period, the Government will endeavour to implement programmes that will accelerate HIV testing and treatment to ensure viral load suppression, eliminate stigma and discrimination and increase domestic investments and resource mobilisation towards HIV and AIDS.",AMR: Multi-sectoral National Action Plan on Antimicrobial Resistance (2007-2027); SDGs: Eight National Development Plan 2022-2026
P250,amr03,sdg03,AMR-SDG,Zambia,Human health & Care Systems,Implementation,Align,Direct,TRUE,"SDG-03's investments in public health infrastructure, surveillance, epidemic preparedness and resource mobilization create the institutional capacity and funding base needed for AMR-03's situation analyses, guideline development and advocacy activities.",Prevention standards versus treatment demand,"To reduce the incidence of infection through effective sanitation, hygiene and infection prevention measures, and biosecurity. 
Establish a national coordinating structure for sanitary and phytosanitary measures; infection prevention and control, and biosecurity ","IMPROVED HEALTH, FOOD AND NUTRITION: Strengthen public health 
Reduce vulnerability associated with HIV and AIDS","3.1.1. Conduct situation analysis of sanitary and phytosanitary measures, infection prevention and control, and biosecurity 3.1.2. Develop/revise national guidelines and protocols as identified through the situation analysis 3.1.3. Advocate for the implementation of the national sanitation, infection prevention and control, hygiene, biosafety, and phytosanitary guidelines ","This will strengthen public health for the prevention and control of infectious diseases such as malaria, tuberculosis and HIV and AIDS as well as non-communicable diseases, mental health care, epidemic preparedness and control as well as health security and surveillance.
reduce the national HIV and AIDS incidence and prevalence. During this period, the Government will endeavour to implement programmes that will accelerate HIV testing and treatment to ensure viral load suppression, eliminate stigma and discrimination and increase domestic investments and resource mobilisation towards HIV and AIDS.",AMR: Multi-sectoral National Action Plan on Antimicrobial Resistance (2007-2027); SDGs: Eight National Development Plan 2022-2026
P251,amr03,sdg06,AMR-SDG,Zambia,Human health & Care Systems,Objective,Align,Direct,TRUE,Both policies aim to strengthen sanitation and hygiene infrastructure and practices to reduce infections in humans.,Prevention standards versus treatment demand,"To reduce the incidence of infection through effective sanitation, hygiene and infection prevention measures, and biosecurity. 
Establish a national coordinating structure for sanitary and phytosanitary measures; infection prevention and control, and biosecurity "," IMPROVED WATER SUPPLY AND SANITATION
Improve sanitation services","3.1.1. Conduct situation analysis of sanitary and phytosanitary measures, infection prevention and control, and biosecurity 3.1.2. Develop/revise national guidelines and protocols as identified through the situation analysis 3.1.3. Advocate for the implementation of the national sanitation, infection prevention and control, hygiene, biosafety, and phytosanitary guidelines ","Government will strengthen sewerage and solid waste management by enhancing financing to address the constraint of inadequate infrastructure in the sanitation sub-sector. Promotion of sustainable sanitation practices will also be scaled-up. 
With these interventions, the proportion of households with access to improved sanitation is expected to improve from 37.2 percent and 77.7 percent in 2018 to 55 percent and 90 percent in 2026 in rural and urban areas, respectively. Constituencies and wards will identify areas of need for water and sanitation services and plan for provision of such services to reduce developmental inequalities related to access to these services.",AMR: Multi-sectoral National Action Plan on Antimicrobial Resistance (2007-2027); SDGs: Eight National Development Plan 2022-2026
P252,amr03,sdg06,AMR-SDG,Zambia,Human health & Care Systems,Implementation,Align,Direct,TRUE,"Policy 1's development and advocacy of IPC and sanitation guidelines create a framework that can be operationalized through Policy 2's investments in sewerage, solid waste management, and sanitation infrastructure.",Prevention standards versus treatment demand,"To reduce the incidence of infection through effective sanitation, hygiene and infection prevention measures, and biosecurity. 
Establish a national coordinating structure for sanitary and phytosanitary measures; infection prevention and control, and biosecurity "," IMPROVED WATER SUPPLY AND SANITATION
Improve sanitation services","3.1.1. Conduct situation analysis of sanitary and phytosanitary measures, infection prevention and control, and biosecurity 3.1.2. Develop/revise national guidelines and protocols as identified through the situation analysis 3.1.3. Advocate for the implementation of the national sanitation, infection prevention and control, hygiene, biosafety, and phytosanitary guidelines ","Government will strengthen sewerage and solid waste management by enhancing financing to address the constraint of inadequate infrastructure in the sanitation sub-sector. Promotion of sustainable sanitation practices will also be scaled-up. 
With these interventions, the proportion of households with access to improved sanitation is expected to improve from 37.2 percent and 77.7 percent in 2018 to 55 percent and 90 percent in 2026 in rural and urban areas, respectively. Constituencies and wards will identify areas of need for water and sanitation services and plan for provision of such services to reduce developmental inequalities related to access to these services.",AMR: Multi-sectoral National Action Plan on Antimicrobial Resistance (2007-2027); SDGs: Eight National Development Plan 2022-2026
P253,sdg03,sdg06,SDG-SDG,Zambia,Human health & Care Systems,Objective,Align,Direct,TRUE,"Both policies aim to reduce human infection by pathogenic organisms, including resistant bacteria.",Prevention standards versus treatment demand,"IMPROVED HEALTH, FOOD AND NUTRITION: Strengthen public health 
Reduce vulnerability associated with HIV and AIDS"," IMPROVED WATER SUPPLY AND SANITATION
Improve sanitation services","This will strengthen public health for the prevention and control of infectious diseases such as malaria, tuberculosis and HIV and AIDS as well as non-communicable diseases, mental health care, epidemic preparedness and control as well as health security and surveillance.
reduce the national HIV and AIDS incidence and prevalence. During this period, the Government will endeavour to implement programmes that will accelerate HIV testing and treatment to ensure viral load suppression, eliminate stigma and discrimination and increase domestic investments and resource mobilisation towards HIV and AIDS.","Government will strengthen sewerage and solid waste management by enhancing financing to address the constraint of inadequate infrastructure in the sanitation sub-sector. Promotion of sustainable sanitation practices will also be scaled-up. 
With these interventions, the proportion of households with access to improved sanitation is expected to improve from 37.2 percent and 77.7 percent in 2018 to 55 percent and 90 percent in 2026 in rural and urban areas, respectively. Constituencies and wards will identify areas of need for water and sanitation services and plan for provision of such services to reduce developmental inequalities related to access to these services.",SDGs: Eight National Development Plan 2022-2026
